,Datetime,Tweet Id,Text,Username
0,2021-11-27 13:27:00+00:00,1464586555729850376,@amazonpay Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160,AsrarAl46735690
1,2021-11-22 13:29:04+00:00,1462775139645280269,@amazonpay Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care numb,AsrarAl46735690
2,2021-11-22 13:26:37+00:00,1462774522654773248,@amazonpay @nutribullet @nectarsleep Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160,AsrarAl46735690
3,2021-11-22 13:20:17+00:00,1462772928479567878,@amazonpay Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care num,AsrarAl46735690
4,2021-11-22 13:17:51+00:00,1462772315729526784,@amazonpay Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160Amazon pay customer care number 9883825160,AsrarAl46735690
5,2021-11-14 17:08:04+00:00,1459931146192502785,"@amazonIN @AmazonNews_IN @amazonpay how many tumes you scan a code of a physiotherapist,, it shows some other name,I lost ₹300 complained in customercare - 180030009009,no use, 2days passed. So far no progress.Screenshot shows scanner got a problem and not foolproof and reliable",rangavittal6
6,2021-11-09 06:17:29+00:00,1457955481796808711,@amazonpay#Amazon par customer care number##8319895945#anytime uplabdh https://t.co/HYyHOR8Q89,JOKER32418402
7,2021-10-04 06:16:06+00:00,1444909170700869635,"@ICICIBank_Care @amazonpay @ICICIBank Hi team I have contacted ur customer care vide#18001020123 &amp; everytime I tell my issue, ur executive tells to wait, puts my call on hold &amp; cunningly cuts the call. This happened 4 times now. Refer below as proof of my calls. Pls help🥺 https://t.co/VgME7rwtbm",Vishwanath_H_G
8,2021-09-27 15:16:07+00:00,1442508358003482633,@amazonpay Ref credit card application 8201916501408. Documents uploaded four times but not accepted .Inform precisely your requirement. My submission of documents well in order. No response from customer care also.,anb1953
9,2021-09-15 05:12:47+00:00,1438007870247735299,@amazonpay @amazonpay  customer care number 7742458914,KishorKuthadi
