,Datetime,Tweet Id,Text,Username
0,2021-11-29 07:02:12+00:00,1465214494548783105,"+916290368571
+916295019727
These people are calling and saying that they are calling from PhonePay customer care. My wife’s Bank account deducted by Rs 1900/-after receiving this call yesterday.Kindly Check
@CPMumbaiPolice @DGPMaharashtra @MumbaiPolice @PhonePe_ @TheOfficialSBI",Subhash_Pagare
1,2021-11-28 10:57:52+00:00,1464911412761821189,@PhonePe_ customer care no 7810890157====6203634686,8OkQZO6sEsVEtq9
2,2021-11-27 03:21:12+00:00,1464434102879195144,@PhonePe_ phone pe customer care number//8391052167// https://t.co/5Ux3qd7V19,RaniKum94429451
3,2021-11-01 09:17:55+00:00,1455101787531214854,"@PhonePayPvtLtd @PhonePe_ @PhonePeSupport 
i made a transection of rs10000 it has been dedicated from my account 8873246238@ybl and not received by the receiver.trying to contact customer care several times but they are not responding.i m in big trouble",MDShake24554988
4,2021-10-29 09:30:44+00:00,1454017848242700292,@PhonePe_ customer care number 08391917903=08391917903=,Rahul36805870
5,2021-10-29 09:25:39+00:00,1454016569567158272,@PhonePe_ customer care number 08391917903=08391917903,Rahul36805870
6,2021-10-25 12:31:28+00:00,1452613779749892099,@PhonePe_ Phone pe ka customer care number 9641490522 aur 7432819724 se phone karke mere account se 15000 kat liya.mujhe mera paisa wapis chahiye.,BONG_BOY_
7,2021-10-25 12:28:52+00:00,1452613126977822727,"@DPD_India @PIBHomeAffairs @MIB_India @PIB_India @BOC_MIB @official_dff @ianuragthakur @souindia Hello,these 2 number 9641490522 and 7432819724 se phone karke mujhe bola ki main @PhonePe_ customer care se bol raha hu. aur mere account se 15000 deduct kar liya,mujhe mera 15000 rupees wapis chahiye.",BONG_BOY_
8,2021-10-24 10:04:15+00:00,1452214346440925184,@PhonePeSupport @PhonePe_ please check &amp; block this ID trying to get money in Fraudulent manner through phone. Claiming to be phonepay customer care executive. The number called from is +919832717100. https://t.co/BMArduoDkG,SarkarPrabeer
9,2021-10-16 13:21:13+00:00,1449364811528032256,@PhonePe_ 08068727777 it is ur merchant customer care nmber?,ANKITSAWLANI94
10,2021-10-09 11:51:49+00:00,1446805599023337474,"@PhonePe_ Customer Care number refund money +919832547394
All problems solved solved +919832547394",RamBhai89205451
11,2021-10-09 11:02:40+00:00,1446793229446246405,"@Cyberdost @MahaCyber1 @PuneCityPolice 

Got a call from the below number, he was posing as @PhonePe_ Customer care, then started abusing when confronted on some of the company details.
Seems to be a scammer.

+91 8391910782",Siraj_Dokadia
12,2021-10-06 10:07:28+00:00,1445692175598063619,"@PhonePe_ @PhonePeSupport 

Transaction id NX21100614382356957625231

Amount got debited but bill payment not done also saying already paid

Kindly tell me exact status of this what happens..

Also give customer care numbers

Ticket id a148125853",JainAnkit1090
13,2021-10-05 18:08:11+00:00,1445450762335625220,This is the fraud going on with @PhonePeSupport @PhonePe_ @phonepe_safety  and @reliancejio @JioCare . I have recharged with a 599 plan on my jio number 8787032147. Customer care of both @reliancejio @PhonePe_ is not ready to accept their faults and keep shifting the blame (1/2) https://t.co/PLCgNLsspl,Shashan41932867
14,2021-10-05 13:10:04+00:00,1445375737683320833,"@PhonePe_ sir ek baar mine galti se apna phone per account deactivate kar diya 
Ab mughe dubara bnana hai pr bn ni rha customer care se bhi baat kari wo keh rahe hai ki ab ni banega 9899954116 mine is no se account banaya tha pr bn ni rha sir plzz help me",IshanSh21020234
