,Datetime,Tweet Id,Text,Username
0,2021-11-29 07:02:12+00:00,1465214494548783105,"+916290368571
+916295019727
These people are calling and saying that they are calling from PhonePay customer care. My wife’s Bank account deducted by Rs 1900/-after receiving this call yesterday.Kindly Check
@CPMumbaiPolice @DGPMaharashtra @MumbaiPolice @PhonePe_ @TheOfficialSBI",Subhash_Pagare
1,2021-11-28 10:57:52+00:00,1464911412761821189,@PhonePe_ customer care no 7810890157====6203634686,8OkQZO6sEsVEtq9
2,2021-11-27 03:25:58+00:00,1464435302924099588,"@BlrCityPolice @CybercrimeCID 
Today morning got a call from this number +919523788266 trying to Fraud in the name of Phone pe customer care of Rs.5000 cashback. I was aware of this type of frauds so I was able to escape from there trap.
Kindly take action &amp; save general public .",Avinashappu1990
3,2021-11-27 03:24:23+00:00,1464434902879772676,Phone pe customer care number//8391052167// https://t.co/HEGMx4N7Si,RaniKum94429451
4,2021-11-27 03:24:10+00:00,1464434846873178117,Phone pe customer care number//8391052167// https://t.co/2sheKDsFY8,RaniKum94429451
5,2021-11-27 03:23:49+00:00,1464434760650919939,Phone pe customer care number//8391052167// https://t.co/wqiAfpRwZZ,RaniKum94429451
6,2021-11-27 03:23:36+00:00,1464434704254320642,Phone pe customer care number//8391052167// https://t.co/fQw9zUk86h,RaniKum94429451
7,2021-11-27 03:23:24+00:00,1464434655982088192,Phone pe customer care number//8391052167// https://t.co/bpiPubPXCm,RaniKum94429451
8,2021-11-27 03:23:08+00:00,1464434587325513730,Phone pe customer care number//8391052167// https://t.co/MxTUvib6MU,RaniKum94429451
9,2021-11-27 03:22:55+00:00,1464434532262707202,Phone pe customer care number//8391052167// https://t.co/bLXXTE6Li7,RaniKum94429451
10,2021-11-27 03:22:40+00:00,1464434472099532806,Phone pe customer care number//8391052167// https://t.co/mAOXhhAHCa,RaniKum94429451
11,2021-11-27 03:22:22+00:00,1464434396891549697,Phone pe customer care number//8391052167// https://t.co/c7eeDq0cKO,RaniKum94429451
12,2021-11-27 03:21:12+00:00,1464434102879195144,@PhonePe_ phone pe customer care number//8391052167// https://t.co/5Ux3qd7V19,RaniKum94429451
13,2021-11-19 10:55:22+00:00,1461649293295558661,"@CybercrimeCID 
Hello sir,
We just received a call from number 9523788266 pretending Phone pe customer care asking to redeem rewards.
We ignored it and He started abusing vulgur word's and Abusing kind of blackmail.

Pls check it and connect to respective team.
@CCBBangalore",AimLordKrishna
14,2021-11-16 02:43:31+00:00,1460438353975910403,@ManojKu57289458 Phonepe customer care number 8597854855 https://t.co/LoxIc2wMD5,Googlep39801841
15,2021-11-09 05:07:24+00:00,1457937845172129793,@Gk9959004431 Phonepe customer care number,Hasmukh23479073
16,2021-11-05 15:14:12+00:00,1456641003402641424,@DishTV_India I have recharged with Rs.1083 on mydishtv app through Phone pe mode but amount is not reflecting in my account.Customer care not resolving the complaint.UTR id for transaction is 130862196185 from ICICI bank.Please help in this regard.,JPPATIL5
17,2021-11-05 04:48:52+00:00,1456483629777895424,"Phonepe customer care number
6202434820 https://t.co/q5JZeAIplD",BakridAnsari2
18,2021-11-05 04:45:25+00:00,1456482764111245315,"Phonepe customer care number
6202434820",BakridAnsari2
