,Unnamed: 0,Datetime,Tweet Id,Text,Username,Follower Count,User ID
66,66,2021-08-31 09:12:03+00:00,1432632263804547077,@phonepe_ phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624 https://t.co/8zzd2bixdp,xvxhgxgx,0,1405386157651685376
67,67,2021-08-31 09:11:26+00:00,1432632108548190219,@phonepe_ phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624 https://t.co/bqqd1h5upu,xvxhgxgx,0,1405386157651685376
68,68,2021-08-31 09:09:44+00:00,1432631682977308675,@phonepe_ phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624 https://t.co/aqcy8jlgia,xvxhgxgx,0,1405386157651685376
69,69,2021-08-31 09:08:23+00:00,1432631340264878086,@phonepe_ phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624,xvxhgxgx,0,1405386157651685376
70,70,2021-08-31 09:05:48+00:00,1432630691296997382,@phonepe_ phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624,xvxhgxgx,0,1405386157651685376
71,71,2021-08-31 09:05:00+00:00,1432630490050150405,@phonepe_ phone pay customer care number 8918645624//8918645624phone pay customer care number 8918645624//8918645624,xvxhgxgx,0,1405386157651685376
255,255,2020-08-07 16:32:28+00:00,1291774218950959105,"@pmoindia @narendramodi phone pe customer care number helpline,9325839866",KumarRukash,5,1291770593906315265
316,316,2020-02-17 08:15:53+00:00,1229318536847228928,"@cyber i tried to recharge my phone from the phone pay but due to the failure of the recharge, i searched the customer care number of phone pe on google, there i contacted a mobile number, 7003812685  they deducted my money through any desk mobile app.pls help",Arvindp2017,11,857087901347270656
317,317,2020-02-17 08:15:17+00:00,1229318384438767619,"@cpdelhi i tried to recharge my phone from the phone pay but due to the failure of the recharge, i searched the customer care number of phone pe on google, there i contacted a mobile number, 7003812685  they deducted my money through any desk mobile app.pls help",Arvindp2017,11,857087901347270656
318,318,2020-02-17 08:14:44+00:00,1229318249558315013,"@delhipolice i tried to recharge my phone from the phone pay but due to the failure of the recharge, i searched the customer care number of phone pe on google, there i contacted a mobile number, 7003812685  they deducted my money through any desk mobile app.pls help",Arvindp2017,11,857087901347270656
334,334,2020-02-03 10:15:49+00:00,1224275288017666048,"@phonepe_customer care number
6207544801==6353669805 https://t.co/7brorvgkad",rajesku83691955,0,1211535591789056002
351,351,2020-01-11 05:01:08+00:00,1215861175751036928,got a call from this +917091138021 number saying that calling from phone pe customer care and there is reward worth inr1950 would you like redeem or something else. please something for this kind of fraudster @phonepe_,desh_bhakti_,17,795536734649978881
372,372,2019-12-27 03:11:55+00:00,1210397872627187712,"#phonepesupport customer care number ~08967130261~62940586
82~~ punjab national bank allahabad bank ail bank account link upi #phonepesupport bill payment money transfer anytime 24 hours service phonepe nice su https://t.co/g5rwhmsdwd",ArunDcp,0,1194856203198709760
373,373,2019-12-26 13:40:14+00:00,1210193605731598336,"#cabsupport #cabcustomer #olacabs customer care number=6374465480=olacabs in bank account linked, upi payment transfer, phonepe kyc update any problems just call in customer care p2p payment any problems solve. 24x7supprt https://t.co/svn9fkkgkv",cab_krishna,2,1205155290523398145
374,374,2019-12-26 13:39:12+00:00,1210193346691395585,"@zeenews #olacabs customer care number=6374465480=olacabs in bank account linked, upi payment transfer, phonepe kyc update any problems just call in customer care p2p payment any problems solve.  #olacabs #payment #upi #jiomoeny #zeenews #indiasupportscaa",cab_krishna,2,1205155290523398145
375,375,2019-12-26 11:56:12+00:00,1210167422696574978,"@india7_official #olacabs customer care number=6374465480=olacabs in bank account linked, upi payment transfer, phonepe kyc update any problems just call in customer care p2p payment any problems solve. #bipinrawat #indiaagainstcaa #indiasupportscaa",cab_krishna,2,1205155290523398145
376,376,2019-12-26 11:53:57+00:00,1210166856985636864,"@the_hindu #olacabs customer care number=6374465480=olacabs in bank account linked, upi payment transfer, phonepe kyc update any problems just call in customer care p2p payment any problems solve. 24x7 #olacabcustomer",cab_krishna,2,1205155290523398145
377,377,2019-12-26 11:53:01+00:00,1210166623576813568,"#olacabcustomer care number=6374465480=olacabs in bank account linked, upi payment transfer, phonepe kyc update any problems just call in customer care p2p payment any problems solve. 24x7 support https://t.co/00ckwzhmwp",cab_krishna,2,1205155290523398145
